SKU,Qty,Amount,% of Sales,Avg Price
"LY902 (LY902 - 3/4"" Reflective lanyard with step and repeat logo.   Standard J Cl...",650.0,539.5,0.0%,0.83
"LYBH01 (LY-BH01 - 3"" x 4"" Clear PVC Horizontal Badge Holder. Supports 2.25"" x 3.8...",1680.0,420.0,0.0%,0.25
"LYBH02 (LY-BH02 - 2.5"" x 4""  Clear PVC Vertical Badge Holder.  Supports card dime...",3600.0,900.0,0.0%,0.25
MA08-BLACK (MA08 Black Silicone Straw Topper for 40oz Stanley Cups.),250.0,270.0,0.0%,1.08
MA08-BLUE (MA08 Blue Silicone Straw Topper for 40oz Stanley Cups.),500.0,465.0,0.0%,0.93
MA08-WHITE (MA08 White Silicone Straw Topper for 40oz Stanley Cups.),2100.0,2310.0,0.0%,1.1
MA10-WHITE (MA10 White Magnetic Silicone Cable Wrap),550.0,325.0,0.0%,0.59
MG04B (MG04B- Massage Gun),4800.0,150667.42,0.7%,31.39
MG06 (MG06 -Aurora Blue - Eye Massager),397.0,5324.23,0.0%,13.41
MG07 (MG07 - White Eye Massager),80.0,5912.13,0.0%,73.9
MP02 (MP02 -  Gaming Mouse Pad with Full color Graphics.  Approximate size is 14x...,503.0,2286.66,0.0%,4.55
MR01-GREY (MR01 - Mobile Ring - Grey Metal Phone Holder Ring.),1325.0,873.0,0.0%,0.66
MR03 (MR03 - Custom Shape Mobile Ring -  Custom shape with metal Phone Holder Ring.),1501.0,1679.0,0.0%,1.12
"MSD-16G (16GB Micro SD Card - Black, Bulk Packaging)",1308.0,3793.2,0.0%,2.9
OM01 (OM01 - Fly -   Mini Optical Mouse with Retractable Cable),570.0,3264.3,0.0%,5.73
OM14-CUSTOM (OM14 - Lobster -  Foldable wireless mouse with removable USB 2.4Mhz ...,450.0,3433.5,0.0%,7.63
"OM14-WHITE (OM14 - Lobster -  White, Foldable wireless mouse with removable USB 2...",1343.0,9095.53,0.0%,6.77
OM19-BLUE (OM19 - Zoom - Blue -  Wireless mouse.),250.0,1730.0,0.0%,6.92
OM22 (OM22-Adhesive Fabric Mouse Sleeve.  Conveniently store your mouse on the si...,200.0,700.0,0.0%,3.5
"PH04 (PH04 - Air Mount, Vent mount car phone holder.  )",2185.0,9614.0,0.0%,4.4
PH09 (PH09-Clutch  Black  Air Vent Phone Holder),740.0,5263.49,0.0%,7.11
PH21 (PH21 - Black Stick on Magnetic Phone Holder),350.0,1162.0,0.0%,3.32
PH24 (PH24 - Black Car Cup Mount Phone Holder.),1270.0,14585.2,0.1%,11.48
PH25 (PH25 -Clip n Dash -  Black Car Clamp on dash mounted phone holder.),2000.0,9740.0,0.0%,4.87
PH26 (PH26 - Black Vent Mount Gravity Phone Holder.),501.0,1448.43,0.0%,2.89
PH28 (PH28 - Black AirPlane Phone Holder.),1947.0,8893.26,0.0%,4.57
PH29 (PH29 - Deluxe Black AirPlane Phone Holder.),510.0,3981.0,0.0%,7.81
PK-ST01-WS (PK-ST01-WS -  Wheat Straw tube for ST01B.  Eco friendly biodegradable...,1000.0,250.0,0.0%,0.25
PK313 (Black Leatherette Zipper case.),370.0,8189.4,0.0%,22.13
"PM01-BLACK (PM01 - Pointer Mouse - Black hand held mouse, stylus and powerpoint p...",180.0,2935.8,0.0%,16.31
PN01-BLACK (PN01 - Tactical Pen - Black.  Black Aluminum pen with glass breaker.),417.0,2942.0,0.0%,7.06
PW01-BLACK (PW01 - Phone Wallet - Black Silicone Phone Wallet for mobile devices....,5750.0,4372.5,0.0%,0.76
PW06B-BLACK (PW06 - Double Phone Wallet - Black Silicone Phone 2 pocket Wallet fo...,1500.0,910.0,0.0%,0.61
PW07-BLACK (PW07 - PU Leatherette Phone Wallet with Mobile Ring -  Includes 3M ad...,700.0,504.0,0.0%,0.72
PW10-BLACK (PW10 - Black PU Magnetic Phone Wallet with fold out landscape / Portr...,361.0,3262.0,0.0%,9.04
PW11-BLACK (PW11 - PU Magnetic Phone Wallet.),750.0,1822.5,0.0%,2.43
PW11-BLUE (PW11 - PU Blue Magnetic Phone Wallet.),50.0,121.5,0.0%,2.43
PW11-BROWN (PW11 - PU Brown Magnetic Phone Wallet.),250.0,650.0,0.0%,2.6
RFID-HIWAV (Hiwav URL.),4250.0,0.0,0.0%,0.0
