,"Jan 1, '24 - Feb 18, 25"
,"Qty","Amount","% of Sales","Avg Price"
"20-3008-1222 (19.5” Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",7,4780.00,0.0%,682.86
"20-3008-1223 (15.6” Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",13,7858.00,0.0%,604.46
"20-3008-1228 (18.5"" Frameless BrightSign Built-In  1000nits 1920x1080)",80,48120.00,0.2%,601.50
"20-3008-1229 (21.5"" Frameless BrightSign Built-In  1500nits 1920x1080)",32,21392.00,0.1%,668.50
"20-3008-1230 (55"" Finished BrightSign Built-In Outdoor Display, 1920x1080)",1,0.00,0.0%,0.00
"20-3008-1233 (21.5"" Finished BrightSign Built-In Custom Mounting1920x1080)",200,128200.00,0.6%,641.00
"20-3008-1239 (13.3"" Finished Bright Sign Built-In Touch POE, Outdoor 1920 x 1080)",8,6760.00,0.0%,845.00
"20-3008-1240 (21.5"" Finished BrightSign Built-In Touch, PoE, Outdoor 1920 x 1080)",16,19120.00,0.1%,1195.00
"20-3008-1248 (20.9"" Finished BrightSign Built-in with POE+, 1920x360)",12,6996.00,0.0%,583.00
"20-3008-1258 (21.5"" Custom Frameless BrightSign Built-In (HS145 Only) Capacitive ...",289,168487.00,0.7%,583.00
"20-3008-1259 (10.1"" Custom Frameless BrightSign Built-In Garmin (HS145), 1280 x 800)",252,90720.00,0.4%,360.00
"20-3008-1267 (12.1” Outdoor Finished BSBI, Touch, POE++, IK10, Antiglare, 1280x800)",211,204070.00,0.9%,967.16
"20-3008-1268 (13.3"" Countertop BrightSign Built-In, Portrait, Touch, POE, White, ...",1,0.00,0.0%,0.00
"20-3009-1003 (15.6"" Video Wall BrightSign Built-In 3x1 Black Housing 1920x1080)",1,0.00,0.0%,0.00
"20-3009-1222 (19.5"" Custom Finished BrightSign Built-In Countertop Touch 1920x108...",-1,-700.00,-0.0%,700.00
"20-3009-1225 (15.6"" Custom BrightSign Built-In Countertop Touch 1920x1080 Landsca...",2,0.00,0.0%,0.00
"20-3009-1233 (37"" Custom BrightSign Built-In Countertop Touch 1920x540 Landscape,...",1,1173.00,0.0%,1173.00
"20-3009-1234 (39.4"" Custom UW Finished BrightSign Built-In (HS144) Built-In Capac...",-1,-1000.00,-0.0%,1000.00
"20-3009-1235C (39.4"" Custom Countertop UW Finished BrightSign Built-In (HS145) Bu...",10,13950.00,0.1%,1395.00
"20-3009-1246 (Dual 55"" BSBI, 3840*2160 500nits and 1920*1080 4000nits, Finished, ...",0,0.00,0.0%,0.00
"20-3009-1271 (13.3"" Finished Bright Sign Built-In Touch POE, Outdoor, 1920 x 1080)",2,1000.00,0.0%,500.00
"20-3009-1273 (46.0"" Finished Bright Sign Built-In XT1144 1920x1080)",31,31435.00,0.1%,1014.03
"20-3009-1274 (50.5"" Finished Bright Sign Built-In XT1144 3840 x 1350 18in High)",23,37283.00,0.2%,1621.00
"20-3009-1276 (48.0"" Finished UW Bright Sign Built-In (HS145) Touch 3840 x 690)",1,0.00,0.0%,0.00
"20-3009-1278 (43"" Finished BrightSign Built-In HS145 4K, No HDMI input, No Glass ...",919,573456.00,2.5%,624.00
"20-3009-1279 (49.0"" Custom Finished BrightSign XT1144-PP, flush silver bezel, inc...",1,1300.00,0.0%,1300.00
"20-3009-1280 (43” Finished BrightSign Built-in (XT1144-PP), HDMI input, Touch, 38...",2,2009.00,0.0%,1004.50
"20-3009-1283 (43.3"" UW BrightSign Built-In XT1144-PP, 3840 x 376, (Catwalk 1.2M))",2682,3011769.45,13.2%,1122.96
"20-3009-1284 (34.8"" UW BrightSign Built-In XT1144-PP, 3840 x 456 (Endcap 0.92M))",745,660315.75,2.9%,886.33
"20-3009-1286 (24” UW Finished BrightSign Built-in (HS145) capacitive touch, 1920x...",2,1328.00,0.0%,664.00
"20-3009-1287 (39.4"" Custom UW Finished  Black Capacitive touch, matte glass 3840x...",1100,1119288.00,4.9%,1017.53
"20-3009-1288 (21.5"" Finished Countertop BrightSign Built-In XT1144, Touch, PoE+, ...",15,11700.00,0.1%,780.00
"20-3009-1289 (39.1"" Custom UW Finished  Flex-OS, Touch, Bonded IK10 Glass, Anti-G...",4,6700.00,0.0%,1675.00
"20-3009-1290 (13.3""  Countertop XT BrightSign Built-In, Landscape, Touch, 1920x1080)",80,50000.00,0.2%,625.00
"20-3009-1292 (39.4"" Custom WHITE UW Finished  Capacitive touch, matte glass 3840x...",14,22348.00,0.1%,1596.29
"20-3009-1295 (55"" Custom Finished Flex-OS, 25% Haze, 3840x2160, Walmart)",15,27750.00,0.1%,1850.00
"20-3009-1299 (41.3” Finished HDMI in, Touch, IK10, bonded, 3840x1896)",68,117300.00,0.5%,1725.00
"20-3009-1300 (41.5"" Finished BSBI HS145, HDMI input, POE85W, IK10 Glass, Anti-Gla...",26,29324.00,0.1%,1127.85
"20-3009-1301 (32” Finished Brightsign HS145, PoE85W, IK10 Glass, Anti-Glare, Dark...",18,16056.00,0.1%,892.00
"20-3009-1302 (27” Finished Brightsign HS145, PoE85W, IK10 Glass, Anti-Glare, Dark...",26,21918.00,0.1%,843.00
"20-3011-1003 (13.3"" Finished Seneca HDs Touch POE 1920x1080)",76,46641.00,0.2%,613.70
"20-3011-1006 (32"" Finished Seneca HDs 1920x1080)",10,3100.00,0.0%,310.00
"20-3011-1046 (10.1"" Frameless B1 Intel Capacitive Touch PoE 1280x800)",10,4640.00,0.0%,464.00
"20-3011-1085 (10.1"" Finished B1 Intel, Touch, PoE, 1280x800)",27,11649.00,0.1%,431.44
"20-3011-1224 (34.2"" Finished Seneca HDs 1345x331)",124,132963.00,0.6%,1072.28
"20-3011-1228 (32"" Finished Seneca HDs 1920x1080, No Glass)",1,290.00,0.0%,290.00
"20-3011-1259 (20.9"" Finished Seneca, Single LCD, PoE, IK10)",77,63739.83,0.3%,827.79
"20-3011-1263 (21.9"" Finished Seneca Element 3.5SBC, 1920x720, 2ft header ELM)",1,0.00,0.0%,0.00
"20-3011-1266 (27"" Finished Seneca HDs POE 1920x1080, with glass and Display port)",20,7700.00,0.0%,385.00
"20-3011-1267 (10.1"" Custom Finished, G1, Harbor Flip, 1280 x 800     )",7,1920.00,0.0%,274.29
"20-3011-1270 (10.1"" Finished, G1, Capacitive Touch 1280 x 800)",15,6075.00,0.0%,405.00
"20-3011-1271 (10.1"" Finished B1 Intel, 1280x800, Capacitive Touch, PoE, LED Bars,...",142,49680.00,0.2%,349.86
"20-3011-1272 (20.7"" Finished Intel, Dual LCD, PoE, 1920 x 264  )",900,608400.00,2.7%,676.00
"20-3011-1278 (20.7"" Finished Intel, Dual LCD, PoE, 1920 x 264  )",85,69132.00,0.3%,813.32
"20-3011-1280 (20.9"" Finished Intel, Single LCD, PoE, IK10, 1920x360)",5,3005.00,0.0%,601.00
"20-3011-1284 (15.6” Countertop Intel , Touch, Landscape, 1920x1080)",1,630.00,0.0%,630.00
"20-3012-1006 (27.0"" Finished 4K Touch 3840*2160)",85,43265.00,0.2%,509.00
"20-3012-1021 (43"" Frameless V4k 3840x2160)",1,0.00,0.0%,0.00
"20-3012-1026 (65"" Frameless V4K (HDMI input), USB Capacitive Touch 3840x2160)",525,722400.00,3.2%,1376.00
"20-3012-1039 (43"" Custom Finished 4K Display w/ PCAP touch, speakers (2x20w), mic...",5,9588.00,0.0%,1917.60
"20-3012-1042 (48.3” Daisy Chain Bar LCD, M-HDMI in/out, 3840*720, 9.74"" / 247.43m...",48,29874.00,0.1%,622.38
"20-3012-1047 (48.3” Daisy Chain Bar LCD, M-HDMI in/out, 3840*456, 7.0"" / 177.8mm ...",1,892.00,0.0%,892.00
"20-3012-1052 (35"" Finished 4K Daisy Chain, No Glass, 1920 x 84)",12,2558.00,0.0%,213.17
"20-3012-1060 (44"" UW Finished V4K (HDMI input) 3840x784)",5,5000.00,0.0%,1000.00
"20-3013-1005 (21.9"" Finished V Series, Daisy Chain, 1920x720, No Glass, No SD, No...",55,17710.00,0.1%,322.00
"20-3013-1006 (35.4"" Finished V Series, Daisy Chain, 1920x450, No Glass, No SD, No...",251,135468.00,0.6%,539.71
"20-3014-1001 (23.1” Finished, Daisy Chain, 158x1920       )",11,1820.00,0.0%,165.45
"20-3014-1017 (23.1” Finished, Daisy Chain, No Glass, White, Freezer, 158x1920    )",4,1088.00,0.0%,272.00
"20-3014-1018 (21.9” Finished, Daisy Chain, No Glass, White, Freezer, 1920 x 720  )",1,334.00,0.0%,334.00
"20-3018-0015 (49"" Finished Flex-OS, Thin Bezel, 3840 x 2160)",764,525818.00,2.3%,688.24
